Idea Id,Cost Reduction Idea,Saving Value (INR),Weight Saving (Kg),Status,Dept,Way Forward,Idea ID,Proposal,Imp,Saving Value,Responsibility,Date
2311-PRODUCT-ID-01,Replace the dual LED lamps used for rear license plate illumination with a pair of single LED lamps.,INR 68.00,0.03,NG,PE,N/A,2311-PRODUCT-ID-01,Replace the dual LED lamps used for rear license plate illumination with a pair of single LED lamps.,N/A,INR 68.00,N/A,N/A
2311-PRODUCT-ID-07,De-content the plastic trims found protecting the top tethers from both sides of the seat as the tethers could be placed within the seat fabric itself and a slit on the same could facilitate easy access,INR 115.00,0.08,OK,PE,N/A,2311-PRODUCT-ID-07,De-content the plastic trims found protecting the top tethers from both sides of the seat as the tethers could be placed within the seat fabric itself and a slit on the same could facilitate easy access,N/A,INR 115.00,N/A,N/A
2311-PRODUCT-ID-09,De-content the Plastic Protective Trims fitted onto the LHS and RHS mounting points of the third-row seats and cover the same with the fabric used on the vehicle floor.,INR 76.00,0.07,OK,PE,N/A,2311-PRODUCT-ID-09,De-content the Plastic Protective Trims fitted onto the LHS and RHS mounting points of the third-row seats and cover the same with the fabric used on the vehicle floor.,N/A,INR 76.00,N/A,N/A
2311-PRODUCT-ID-14,Reduce the thickness of the rear wiper pivot bolt cover trim from 2mm to 1.3mm.,INR 46.00,0.06,TBD,PE,N/A,2311-PRODUCT-ID-14,Reduce the thickness of the rear wiper pivot bolt cover trim from 2mm to 1.3mm.,N/A,INR 46.00,N/A,N/A
2311-PRODUCT-ID-16,Replace fiberboard with velcro tape and carpet in the assembly,INR 64.00,0.14,TBD,PE,N/A,2311-PRODUCT-ID-16,Replace fiberboard with velcro tape and carpet in the assembly,N/A,INR 64.00,N/A,N/A
2311-PRODUCT-ID-17,"1. Relocate the Battery Negative Terminal Earthing Wire mount from the side to the top of the front suspension subframe of the vehicle
2. Reduce the length of the connector terminal and instead of using two bolts, use a single bolt
3. Reduce the overall size and wall thickness of the Battery Negative Terminal Cast Clamp",INR 103.00,0.03,Hold,PE,N/A,2311-PRODUCT-ID-17,"1. Relocate the Battery Negative Terminal Earthing Wire mount from the side to the top of the front suspension subframe of the vehicle
2. Reduce the length of the connector terminal and instead of using two bolts, use a single bolt
3. Reduce the overall size and wall thickness of the Battery Negative Terminal Cast Clamp",N/A,INR 103.00,N/A,N/A
2311-PRODUCT-ID-21,"De-content the Spacer Plates mounted onto the door frame and if required, increase the length of the latch receiver on the Striker Plate to ensure the doors close smoothly and securely",INR 65.00,0.09,NG,PE,N/A,2311-PRODUCT-ID-21,"De-content the Spacer Plates mounted onto the door frame and if required, increase the length of the latch receiver on the Striker Plate to ensure the doors close smoothly and securely",N/A,INR 65.00,N/A,N/A
2311-PRODUCT-ID-22,De-content the plastic support trims found within the storage pocket flaps behind the LH and RH front seats,INR 108.00,0.09,NG,PE,N/A,2311-PRODUCT-ID-22,De-content the plastic support trims found within the storage pocket flaps behind the LH and RH front seats,N/A,INR 108.00,N/A,N/A
2311-BA-ID-02,"Remove the black paint coating from the Brake Caliper Mounting Brackets on all four brake assemblies of MGI, following the procedure used for the front brake caliper mounting brackets in KIA.",INR 102.00,0.00,NG,PE,N/A,2311-BA-ID-02,"Remove the black paint coating from the Brake Caliper Mounting Brackets on all four brake assemblies of MGI, following the procedure used for the front brake caliper mounting brackets in KIA.",N/A,INR 102.00,N/A,N/A
2311-DA-ID-07,Replace PA6-GF30 with PA6-GF20 in the manufacture of the Tailgate Release/Handle Trim,INR 143.00,0.01,NG,PE,N/A,2311-DA-ID-07,Replace PA6-GF30 with PA6-GF20 in the manufacture of the Tailgate Release/Handle Trim,N/A,INR 143.00,N/A,N/A
