id,idea_id,cost_reduction_idea,reason,mgi_gross_saving,estimated_cost_savings,saving_value_inr,weight_saving,group_id,status,way_forward,dept,target_date,kd_lc,wtd_avg,est_impl_date,investment_cr,mgi_carline,benchmarking_carline,mg_product_scenario,competitor_product_scenario,purpose_mg_product,purpose_competitor_product,impact_other_systems,client_statement,cae_required,homologation_required,styling_change,part_level_testing,assembly_trials,cad_drawing_update,ecn_required,part_production_trials,vehicle_level_testing,idea_generated_by,new_tool_required,new_tool_cost,tool_modification_required,tool_modification_cost,variants,current_status,resp,mix,volume,purchase_proposal,interest,payback_months,mgi_pe_feasibility,homeroom_approval,pp_approval,supplier_feasibility,financial_feasibility,proposal_image_filename,mg_vehicle_image,competitor_vehicle_image,user_input,response_text,image_path,proposal_image_data,proposal_image_mimetype,mg_vehicle_data,mg_vehicle_mimetype,competitor_vehicle_data,competitor_vehicle_mimetype,created_at
1,2311-PRODUCT-ID-01,Replace the dual LED lamps used for rear license plate illumination with a pair of single LED lamps.,"1. In MGI LED lamps are used while in KIA incandescent lamps are used. LED lamps has more luminosity than the incandescent lamp. Hence, dual LEDs in each lamp can be replace with the single LED lamp and still meet the requirement to illuminate the rear license plate in low-light conditions.
2. The overall length of the lamp will also be reduced from 65mm to 50mm as the current beam pattern is more than enough of what is required to illuminate the whole license plate.",0.0,"The estimated cost savings will be updated once the costing is done.
1. Current weight of the lamps (both) used in MGI - 50g (assumptions)
2. Estimated weight of the lamps (both) proposed - 36g (assumptions)
3. Current cost of the lamps (both) used - INR 60 (assumptions)
4. Estimated cost of the lamps (both) proposed - INR 50 (assumptions)

5. The estimated cost saved - INR 10
6. The estimated weight saved - 14g",68.0,0.03,4,NG,"Homeroom ideas to be bunched up and taken up for implementation at program level
",PE,nan,KD,0.0,NaT,0.0,nan,nan,"MGI,
1. A pair of dual LED lamp is used to ensure that the rear license plate is visible during low light conditions.
2. The lamps are snap-fitted onto the tailgate of the vehicle.

Dimensions,
Length - 64mm
Width - 41mm","KIA,
1. The rear license plate in KIA is illuminated using a pair of incandescent lamps.
2. The lamps are push and twist-fit onto the tailgate of the vehicle.

Dimensions,
Length - 63mm
Width - 36mm","Aesthetic:
LED lamps are used for the license plate illumination which enhances the premium look of the vehicle.

Functionality,
License plate lamps play a crucial role in ensuring the visibility, identification, and legality of vehicles on the road, contributing to overall road safety and law enforcement efforts.",N/A,The cut-outs on the tailgate panel should be made smaller to accommodate the new 50mm lamps.,nan,No,Yes,No,No,Yes,Yes,Yes,Yes,No,ASI,No,0.0,No,0.0,nan,"Currently - KD part (Lamp)
New Development -  
Homologation requirement confirmation (Illumination requirements)/
KD part – Feasibility study to be provided by Homeroom
Homologation test cost. Discussed with ISP on 30-Nov-23 and cost saving not possible",Ojaswini,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
2,2311-PRODUCT-ID-02,"Replace the Plastic Caps mounted onto the doors, hood, and tailgate (total 14) with adhesive stickers.","1. The plastic caps found on the doors, front hood, and tailgate could be replaced with high-quality adhesive stickers as both options aim to achieve a clean, finished look while providing the practical benefits of protection and ease of maintenance.
2. These stickers can serve as a cost-effective and visually appealing alternative.",0.0,"The estimated cost saving will be updated once the costing is done.
1. Per Kg cost of PC- ABS - INR 311.17
2. Weight of the Type 1 cap used in MGI - 1.39g
3. Weight of the Type 2 cap used in MGI - 1.14g
4. Cost of the Type 1 caps - 0.43*4 = INR 1.73
5. Cost of the Type 2 caps - 0.35*10 = INR 3.5
6. Weight of the proposed stickers - 0.2g
7. Per Kg cost of adhesive stickers - INR 250 (assumption)
8. Cost of a single sticker - INR 0.05
9. The estimated cost saving on caps = (3.5 + 1.73) - (0.05*14) = 5.23 - 0.7 = INR 4.53
10. The estimated weight saving on caps = ((1.39*4) + (1.14*10)) - (0.2*14) = 16.96 - 2.8 = 14.16g",130.0,0.018,3,NG,nan,nan,nan,KD,4.53,2024-07-01 00:00:00,0.0,nan,nan,"MGI,
1. There are total 14 Plastic Caps found covering the holes provided on each door, tailgate, and bonnet.
2. All caps are made of plastic and are snap-fitted.

Dimensions & Weight,
Type -1,
Length - 32.2mm
Width - 8.5mm
Weight - 0.34g

Type -2,
Length - 34.16mm
Height - 5.66mm
Weight - 1.14g","KIA,
1. There are total 4 Plastic Caps found covering the holes provided on each door.
2. The caps are made of plastic and are snap-fitted.

Dimensions & Weight,
Length - 33mm
Height - 6.7mm
Weight - 1.38","Functionality,
The Plastic Caps on the sides of the door near the door handle, beneath the hood, and the tailgate serve functionalities such as protection and concealment, easy access for maintenance and repairs, and aesthetics.",N/A,No impact on other systems.,nan,No,No,No,Yes,No,Yes,Yes,Yes,No,ASI,No,0.0,No,0.0,All,"Already MG PE genrated Idea.
Cost savings to be verified as our plug cost is nominal due to KD. 
NVH testing for Noise transfer is planned at supplier. Rejected due to no savings",nan,1.0,nan,nan,nan,nan,OK,nan,nan,WIP,OK,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
3,2311-PRODUCT-ID-03,Replace the rubber bushes used on the wiper blade mounting bolts with the plastic protective cap.,"1. MGI makes use of rubber (EPDM) bushings to protect the wiper blade mounting bolts from external stresses like weathering and to improve the aesthetic appeal of the vehicle while KIA uses plastic (POM) protective caps for the same purpose.
2. MGI can also make use of plastic instead of rubber as plastic would be lighter & cheaper than rubber.
3. Plastic caps will also be able to serve the same aesthetic requirements as rubber bushing.",2.86,"The cost savings will be updated once the costing is done.
1. Per Kg cost of EPDM - INR 500 (assumptions)
2. Current weight of a single bushing used in MGI - 4.07g
3. Current cost of a bushing - INR 2.03
4. Per Kg cost of POM - INR 200 (assumptions)
5. Weight of the proposed cap - 3g
6. Cost of the caps proposed - INR 0.6
7. The estimated cost savings on a bushing - 2.03 - 0.6 = INR 1.43
8. The estimated weight saved on a bushing - 4.07 - 3 = 1.07g

9. Total cost saved - 1.43*2 = INR 2.86
10. Total weight saved = 1.07*2 = 2.14g",126.0,0.02,4,NG,nan,nan,nan,LC,2.86,2024-12-01 00:00:00,0.08,nan,nan,"MGI,
1. Rubber bushings are found covering the front wiper blade mounting bolts in MGI
2. The bushes are made of EPDM and are push-fitted onto the wiper blade body

Dimensions & Weight,
Length - 26.2mm
Width - 26.2mm
Weight - 4.07g","KIA,
1. Plastic protective caps are found covering the front wiper blade mounting bolts in KIA
2. The caps are made of Polyoxymethylene (POM) and are snap-fitted onto the wiper blade body

Dimensions & Weight,
Length - 29.9mm
Width - 29.9mm
Weight - 3.2g","Functionality,
Wiper blade mounting bolts is covered with rubber bushes for ease of maintenance, weather resistance, and overall vehicle aesthetics.",N/A,No impact on other systems.,nan,No,No,Yes,No,Yes,Yes,Yes,Yes,No,ASI,No,0.0,No,0.0,nan,"1. Actual part sample checked on Vehicle.
2- Details shared to the supplier for Tooling and development cost
3. Technically not recommended, since hard fitment issues may occur

Business case reported negative on 09-Feb-24
",nan,1.0,nan,nan,nan,nan,NG,nan,nan,nan,NG,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
4,2311-PRODUCT-ID-04,Replace the Steel-Fuel Filler Door Assembly in MGI with a plastic assembly as in KIA.,"1. MGI uses steel to manufacture the fuel filler door assembly while KIA uses plastic.
2. Replacing steel with plastic could help reduce overall weight and complexity and if the door panel is snap-fitted onto the bracket as in KIA, the installation could be made easier too.
3. MGI can use PC-ABS as a plastic material for the assembly.",0.0,"The cost savings will be updated once the costing is done.
1. Current weight of the setup used in MG - 150g (assumption)
2. The estimated weight of the setup proposed - 100g (assumption)
3. Per Kg cost of steel (fabricated and painted) - INR 230 (assumption)
4. The estimated cost of the current setup - INR 34.5
5. Per Kg cost of PC-ABS - INR 311.17 (assumption)
6. The estimated cost of the setup proposed - INR 31.11

6. The estimated weight savings - 50g
7. The estimated cost savings - INR 3.39",124.0,0.07,3,NG,nan,nan,nan,LC,0.0,2024-07-01 00:00:00,0.0,nan,nan,"MGI,
1. Both the Fuel Filler Door and the Fuel Filler Door Hinge Bracket in MGI are made of steel.
2. The bracket is spot welded onto the fuel filler door and the other end is bolted onto the body in white of the vehicle.

Dimensions,
Length - 218mm
Width - 165mm","KIA,
1. Both the Fuel Filler Door and the Fuel Filler Door Hinge Bracket in KIA are made of plastic.
2. The bracket is snap-fitted onto the fuel filler door and the other end is bolted onto the body in white of the vehicle.

Dimensions,
Length - 243mm
Width - 120mm","Functionality,
The primary function of a fuel filler door assembly in a car is to provide access to the fuel tank for refuelling purposes while also protecting the fuel tank opening from debris, dust, and other elements.",N/A,"No impact on other systems.

Other:
Necessary provisions should be made on the Fuel Filler Door and the Fuel Filler Door Hinge Bracket as found on the Fuel Filler Door Assembly in KIA to facilitate a slide and snap fit.",nan,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,ASI,No,0.0,No,0.0,nan,"Business case will be negative.There will  be no cost saving.It is weight saving. New tool cost development cost + ADVP cost
New Design required. ",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
5,2311-PRODUCT-ID-05,Reduce the projection of the 'HECTOR' badging on the tailgate at the rear end of the car from 4mm to 2.5mm,"1. The 'HECTOR' badging in MGI is projected 4mm outwards from the base of the trim while in KIA the projection of the 'SELTOS' badging is just 2.8mm.
2. Reducing the projection could make the trim lighter without adversely affecting the aesthetic appeal currently served by the trims",0.0,"The cost savings will be updated once the costing is done.
1. The current total weight of the trims - 50g (0.05Kg) (assumption)
2. Weight of the same trims after design change - 30g (0.03Kg) (assumption) 
3. Per Kg cost of ABS - INR 165.45
4. The current total cost of the trims - INR 8.27
5. The total cost of the proposed trims - INR 4.96

6. The estimated cost saved - INR 3.30
7. The estimated weight saved - 20g",135.0,0.02,1-Ext,NG,Verify business case,Finance,2023-11-24 00:00:00,LC,0.0,2024-07-01 00:00:00,0.0,nan,nan,"MGI,
1. 'HECTOR' badging is found glued onto the tailgate at the rear end of MGI
2. The badging is projected 4mm outwards and is made of plastic.
3. Dimensions of badging,
Total Length - 615mm
Width -33.1mm","KIA,
1. 'SELTOS' badging is found glued onto the left of the tailgate at the rear end of KIA
2. The badging is projected 2.8mm outwards and is made of plastic.
3. Dimensions of badging,
Total Length - 75mm
Width -15.6mm","Aesthetic:
The badging is chrome plated to achieve a highly reflective and mirror-like finish that adds a premium and luxurious appearance.

Functionality,
The naming trims at the rear of a car serve to identify the specific make and model of the vehicle. They also contribute to the branding and visual identity of the car and are an important part of a car's exterior design",N/A,No impact on other systems.,nan,No,No,Yes,No,Yes,Yes,Yes,Yes,No,ASI,No,0.0,No,0.0,nan,Idea is NG due to new tooling require,Kalp,nan,40500.0,nan,nan,nan,nan,nan,nan,nan,nan,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
6,2311-PRODUCT-ID-06,"Change the design of the lug nut used in MGI with the design of the lug nut used in KIA.
Wheel lug nut in MGI-
Overall length - 31.3mm
Thread length - 27.95mm
Wheel lug nut in KIA-
Overall length - 27.5mm
Thread length - 15mm","1. Though the sizes of the wheel rim and lug nut are the same in MGI and KIA, the wheel lug nut used in MGI weighs more than the wheel lug nut used in KIA. The weight difference is due to the thread length of the nut, in KIA the thread length is less compared to MGI.
2. MGI and KIA have identical thread patterns, pitch, and diameter of lug stud, hence the nut used in KIA can be used in MGI with suitable changes.",0.0,"The cost savings will be updated once the costing is done.
1. Per Kg cost of lug nuts - INR 220 (assumption)
2. Weight of a single lug nut in MGI - 55.47g (0.055Kg)
3. Cost of a lug nut - INR 12.20
4. Weight of the proposed lug nut -34.41g (0.034Kg)
5. Cost of a lug nut - INR 7.5
6. The estimated weight savings on a nut - 55.47 - 34.41 = 21.06g
7. The estimated cost savings on a nut - 12.20 - 7.5 = INR 4.7

8. Total weight saved - 21.06*20 = 421.2g
9. Total cost saved - 4.7*20 = INR 94",50.0,0.421,2,NG,nan,nan,nan,KD,0.0,2024-12-01 00:00:00,0.0,nan,nan,"MGI,
1. In MGI, the wheel is mounted on the wheel hub using 5 lug nuts.
2. The lug nuts are of M12 size and made up of steel material.
3. The lug nuts have a chrome finish for the aesthetics.
4. The rear wheel rim is 18 inches and the front rim is 17 inches

Dimensions & Weight,
M Size - M12
Overall Length - 33.33mm
Thread Length - 27.95mm
Width - 23.7mm
Weight - 55.47g","KIA,
1. In MGI, the wheel is mounted on the wheel hub using 5 lug nuts.
2. The lug nuts are of M12 size and made up of steel material.
3. The lug nuts have a chrome finish for the aesthetics.
4. The wheel rim is of 17 inches.

Dimensions & Weight,
M Size - M12
Overall Length - 27.33mm
Thread Length - 15.05mm
Width - 23.5mm
Weight - 34.41g","Functionality,
Wheel lug nuts serve the important purpose of securing the wheels to the vehicle's hub, ensuring that the wheels remain attached while the vehicle is in motion.",N/A,No impact on other systems.,nan,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ASI,No,0.0,No,0.0,nan,"Proposal is with insufficient thread length.
 Idea rejected by SGMW as part is common with global market and changes on hub stud required",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
7,2311-PRODUCT-ID-07,De-content the plastic trims found protecting the top tethers from both sides of the seat as the tethers could be placed within the seat fabric itself and a slit on the same could facilitate easy access,"1. Baby basket/seat mounting tethers are exposed and are surrounded by plastic trims in MGI while in KIA, these tethers are found beneath the seat fabric unexposed and can only be accessed via the slit on the seat fabric
2. MGI could de-content the trims and cover these tethers with the seat fabric itself as it is done in KIA",0.0,"The evaluation is done before teardown, the values will change after costing.
1. Per Kg cost of PC ABS - INR 311.17 (Material and cost assumed)
2. Assumed weight of the trim - 42g 
3. The estimated cost of the trim = INR 13.06
4. Total weight of both the trims on LHS and RHS - 42*2 = 84g
5. Total cost of both the trims - 13.06*2 = INR 26.13

6. The estimated weight savings on both sides = 84g
7. The estimated cost savings on both sides = INR 26.13",115.0,0.08,1-Int,OK,Confirm on no part nuber change to avoid homologation cost,PE,2024-06-17 00:00:00,LC,26.13,2024-07-01 00:00:00,0.0,nan,nan,"MGI,
1. Baby baskets/seats can be mounted onto the tethers (ISOFIX) provided at the back of the second-row seats in MGI
2. Top Tethers can be found on both sides of the seat (left & right) and they are surrounded by plastic trims.","KIA,
1. Baby baskets/seats can be mounted onto the tethers (ISOFIX) provided at the back of the second-row seats in KIA
2. Top Tethers can be found on both sides of the seat (left & right) and they are housed inside the seat's rear fabric
3. Plastic trims are absent.","Functionality,
These tethers are designed to securely attach and anchor the baby's car seat or carrier to the vehicle's designated anchor points. They play a crucial role in ensuring the safety and stability of the baby's car seat during travel",N/A,No impact on other systems,nan,No,No,Yes,No,Yes,Yes,Yes,No,No,ASI,No,0.0,No,0.0,nan,"Technical Feasibility –OK.
New Development Requirement:- New tag & Trim development
Testing Requirement :- Component level homologation testing – if agency recommends (For e.g. ISOFIX)
PP approval received. PP feedback on 30-Nov-23 is ""OK for all variants, as long as it is simlar to Astor i.e., ISOFIX sticker would be available to indicate the presence of ISOFIX""
SGMW feedback on 11-Mar-24 is ①It's very unsightly, and there will be a pit in that position, which is very obvious to the hand;
②If you cancel the plastic parts, the felt material will cut a knife, and it will open up for a long time in the later period. Hence not recommended
Supplier feedback on 14-May-24 is ""if only cut in carpet and sticker,
approx saving in 3 for single """,Nishant,1.0,nan,nan,nan,nan,OK,nan,OK,OK,TBC,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
8,2311-PRODUCT-ID-08,Use adhesives to glue the NVH Foam onto the engine cover instead of using steel holders on provisions,"1. The NVH Foam is mounted onto the engine cover in MGI using steel holders
2. As the engine cover nor the foam are not parts that would be replaced often, both could be glued together using adhesives instead of mounting one onto the other",0.0,"Estimated Cost Savings, (accurate costing would be completed after vehicle teardown)
1. Per Kg cost of steel holders - INR 160
2. Per Kg cost of plastic - INR 450
3. Assumed weight of a steel holder - 2g
4. Estimated cost of a steel holder - INR 0.32
5. Assumed weight of a provision - 3g
6. Estimated cost of a provision - INR 1.35
7. Total weight saved removing steel holders - 2*8 = 16g
8. Total cost saved - 0.32*8 = INR 2.56
9. Total weight saved removing provisions - 3*8 = 24g
10. Total cost saved - 1.35*8 = INR 10.8

11. Total weight saved - 16 + 24 = 40g
12. Total cost saved - 2.56 + 10.8 = INR 13.36

13. Per Litre cost of adhesive required - INR 1000 (assumed)
14. Adhesive required - 10ml
15. Estimated cost of the adhesive required = INR 10
16. Weight of the adhesive used in grams - 23.3g (ml to g conversion)

17. Estimated weight savings after redesigning - 40 - 23.3 = 16.7g
18. Estimated cost savings after redesigning - 13.36 - 10 = INR 3.36",99.0,0.016,2,NG,nan,nan,nan,KD,0.0,2024-04-01 00:00:00,0.0,nan,nan,"MGI,
1. NVH Foam is mounted onto the Engine Cover using steel holders
2. The foam is placed on the provisions and the steel holders secure the foam in position from above in the form of a snap-fit

Dimensions & Weight,
Length - 365mm
Width - 344mm","KIA,
The engine cover is absent from the vehicle","Functionality,
NVH Foam is sometimes placed beneath engine covers for several reasons, including noise reduction, thermal insulation, and vibration-dampening",N/A,The provisions on the engine cover to house the steel holders and the holes on the foam to accommodate these mounting points could also be removed,nan,No,No,No,No,Yes,Yes,Yes,No,Yes,ASI,No,0.0,No,0.0,nan,"Idea rejected by SGMW due to temperature concerns
 (Adhesive will not sustain high temperatures). This is a common part with global market. PE suggestion is ""Remove engine cover in line with Seltos"". One pager shared with PP for approval.Rejected idea of removal engine cover since competition model are providing engine covers",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
9,2311-PRODUCT-ID-09,De-content the Plastic Protective Trims fitted onto the LHS and RHS mounting points of the third-row seats and cover the same with the fabric used on the vehicle floor.,"1. The third-row seat mounting points to the floor are covered using plastic protective trims in MGI
2. Instead of using separate plastic trims, MGI could cover the mounting points on both the LHS and RHS sides using the same fabric used on the floor of the vehicle
3. Chances of injuries are low as the metal edges are already curved out so as to prevent cuts or other injuries",0.0,"The evaluation is done before teardown, the values will change after costing.
1. Per Kg cost of PP - INR 130.35
2. Weight of a trim - 36.26g
3. Estimated cost of a trim - INR 4.72
 
4. Estimated weight saved de-contenting trims from both LHS and RHS sides = 36.26*2 = 72.52g
5. Estimated cost saved = 4.72*2 = INR 9.45",76.0,0.072,1-Int,OK,Confirm on PTR plan,PE,2024-06-14 00:00:00,LC,9.45,2024-04-01 00:00:00,0.0,nan,nan,"MGI,
1. The third-row seats are mounted onto the floor of the vehicle using fasteners
2. These mounting points are covered using Plastic Trims on both the LHS and RHS sides
3. The trims are made of PP and are snap-fitted onto the seat mounting brackets

Dimensions & Weight,
Length - 132mm
Width - 70mm
Weight - 36.26g","KIA,
Plastic Protective Trims are absent from KIA as the rear seat mounting points are unexposed.","Functionality,
Plastic trims can help prevent sharp metal edges or protrusions from being exposed and they improve the appearance of the interior of the car. They can also act as a protective barrier, helping to shield the metal components from moisture and corrosion",N/A,No impact on other systems,nan,No,No,No,No,Yes,Yes,Yes,No,No,ASI,No,0.0,No,0.0,nan,"Technically feasible . Bussiness case to be evaluated for carpet modification. PP feedback on 30-Nov-23 ""OK to remove the protective trims only for 3rd row seat mounting points"".
SGMW feedback on 11-Mar-24 is This needs to be confirmed by the real car. The position of the foot cover is flanged. If cancelled, there should be no safety risks and it may not be beautiful. EWO/2024/005429 released",Harsh,1.0,nan,nan,nan,nan,OK,nan,OK,OK,OK,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
10,2311-PRODUCT-ID-10,Reduce the length of the Seat Release Straps found on the second and third-row seats,"1. Seat Release Straps are used to fold down second and third-row seat backrests in MGI
2. The length of these straps could be reduced without compromising the functionality or convenience of the mechanism",0.0,"Estimated Cost Savings, (accurate costing would be completed after vehicle teardown)
1. Per Meter cost of Nylon Straps - INR 50
2. Current string length of strap 1 (third row) - 165mm
3. The estimated cost of strap 1 - INR 8.25
4. Current string length of strap 2 (second row) - 130mm
5. The estimated cost of strap 2 - INR 6.5
6. String length of the proposed strap - 110mm
7. The estimated cost of the proposed strap - INR 5.5
8. Current weight of strap 1 - 8g
9. Current weight of strap 2 - 6g
10. Assumed weight of the proposed strap - 5g

11. The cost saved on strap 1 - 8.25*2 - 5.5*2 = 16.5 - 11 = INR 5.5
12. The cost saved on strap 2 - 6.5*2 - 5.5*2 = 13 - 11 = INR 2
13. Total cost saved - 5.5 + 2 = INR 7.5
14. Total weight of straps 1&2 - 8*2 + 6*2 = 16 + 12 = 28g
15. Total weight of proposed straps - 5*4 = 20g
16. The estimated weight saved - 28 - 20 = 8g",86.0,0.09,1-Int,NG,nan,nan,nan,LC,3.0,2024-07-01 00:00:00,0.0,nan,nan,"MGI,
1. The second and third-row seats are folded using Seat Release Straps provided on the LHS and RHS of the seating assemblies. The straps for the second row can be accessed through the side doors and the straps for the third row can be accessed through the tailgate
2. All straps are made of fabric and are stitched to increase durability

Dimensions & Weight,","KIA,
1. Seat Release Straps are absent from the vehicle
2. Seat Recline Levers are used instead and they are located on the LHS and RHS top ends of the seat backrests","Functionality,
Seat Release Straps are commonly used in vehicles with fold-down rear seats or seats that can be adjusted for different seating configurations to provide convenience and flexibility for passengers and cargo storage",N/A,No impact on other systems,nan,No,No,No,No,Yes,Yes,Yes,Yes,No,ASI,No,0.0,No,0.0,nan,"Feedback on 6-Nov  ""Seat strap on 2nd row is 100 mm long, Can’t be reduced further. Seat strap on 3rd row is 160 mm long, currently it is ok to operate. Can maximum be reduced by 10 mm, other wise few customer might report it as short""
SGMW feedback on 11-Mar-24 is very short to save much cost, but also modify the drawings, data and die, are required costs, not recommended VAVE
",nan,0.4,nan,nan,nan,nan,OK,nan,nan,OK,OK,NaN,NaN,NaN,,,,,,,,,,2025-12-03 17:18:14.798748
